"ests_ageAtOnsetInt","ests_ageAtOnsetParent","ests_sigma_ageAtOnset","ests_alpha_0Orig","ests_alpha_tOrig","ests_sdYResOrig","ests_fitted_mean","stderrs_ageAtOnsetInt","stderrs_ageAtOnsetParent","stderrs_sigma_ageAtOnset","stderrs_alpha_0Orig","stderrs_alpha_tOrig","stderrs_sdYResOrig","stderrs_fitted_mean","ciLower_ageAtOnsetInt","ciLower_ageAtOnsetParent","ciLower_sigma_ageAtOnset","ciLower_alpha_0Orig","ciLower_alpha_tOrig","ciLower_sdYResOrig","ciLower_fitted_mean","ciUpper_ageAtOnsetInt","ciUpper_ageAtOnsetParent","ciUpper_sigma_ageAtOnset","ciUpper_alpha_0Orig","ciUpper_alpha_tOrig","ciUpper_sdYResOrig","ciUpper_fitted_mean"
1.69161503706385,0.724913471939,6.37611857927,105.3908968978,2.03272080668,22.8380365739,93.1945720474,0.98370750610169,0.0978595864997789,0.734598506734237,2.71195413736016,0.210508397828824,1.9095872540618,2.81197776339022,-0.12582383025,0.53989059275,5.11092508,100.13449225,1.618222925,19.3827687,87.738407425,3.75062029,0.925008153,7.99949726,110.74465525,2.452618905,26.8090015,98.835086225
2.80847226016875,0.681025978486,7.53515501543,101.9312562444,1.483601137628,31.6762779159,93.0296493825,1.1281798458991,0.118907726649891,0.887367733941701,3.43767061205938,0.255213189791804,2.38522601245567,3.5392500854772,0.726381688,0.45823200075,6.02756362,95.255822375,0.99552931425,27.386010725,86.0652496,5.201637255,0.924197468,9.535824515,108.67682,2.002232745,36.73705385,99.7924748
3.87440318265252,0.459974601381,7.40469587576,111.1700067677,1.864063693542,25.1499054863,99.9856245954,1.42901175990953,0.11274388006581,0.965721559403414,3.36177986909602,0.266895587352625,2.19189930592928,3.09783062511751,1.357075455,0.24102670825,5.8175719725,104.545452,1.349725835,21.15730555,94.041629425,6.95284231999999,0.68950752475,9.6063180575,117.699385,2.3944007275,29.7669963,106.07029225
3.29786940026893,0.730240392019,8.38816992485,106.8666064237,1.552282494513,23.141657586,97.5529114996,1.49342674628881,0.1205945038372,1.12909758695225,3.06225453149793,0.21859692512248,2.00739709623736,2.96383078530143,0.61659268225,0.5040442345,6.498174185,100.84367625,1.1264949575,19.4726309,91.81596215,6.4939473375,0.982548826,10.89582465,112.92244525,1.9889826025,27.253752775,103.46625925
2.70524037471275,0.560174319057,7.12122411155,106.5892180687,1.889649125762,29.158155042,95.2513232998,1.1259636019338,0.108739041502111,0.885134721371021,3.41724070784292,0.291747242471311,2.35591283496034,3.41841168070887,0.66664507,0.35229483125,5.6230226575,99.866090475,1.3255166625,24.947699475,88.4717784,5.04670955,0.77935062775,9.04915286,113.2769545,2.464174805,34.222307325,101.857918
1.19916092281813,0.765983355694,7.24363115241,107.2678810047,1.96811382025,25.1553679598,95.459198056,1.00649121819316,0.112675279741551,0.755281540979455,2.86894085036663,0.219410086858767,2.01725310951885,3.10095271115361,-0.705539901,0.55694627675,5.925755805,101.644256,1.5429444825,21.5270017,89.364031575,3.30577554,0.99399660975,8.895105765,112.9024305,2.40492968,29.525191725,101.50200975
2.6837469619285,0.5666437888195,7.38140215287,105.9736524317,1.845008698631,24.0370880701,94.9036002589,1.20220429672827,0.118890597031777,0.888748067603856,2.93832451255447,0.222894430776786,2.03131196520984,2.96406594358007,0.471792641,0.34184554875,5.87778336,100.1695495,1.42508288,20.396939025,88.954137375,5.1574582775,0.8107064175,9.33376926,111.78907475,2.2996170425,28.435527325,100.77119575
2.73195785571402,0.542760595116,6.9968033532,105.9470346584,1.719935978439,24.9871481044,95.6274187975,1.16243840199275,0.111082800942276,0.850713073267785,3.08963645271925,0.245470244798078,2.11067475728427,2.8813496069273,0.57897560175,0.3311909785,5.5350028075,99.82796815,1.24334025,21.120068725,89.933056675,5.111953305,0.7684794525,8.8511190325,112.02056075,2.2020713525,29.392046,101.227453
3.04206933945258,0.3836139096771,6.85043029274,104.5171851521,1.956703736921,28.5737396404,92.7769627539,1.12760926840575,0.101417669821972,0.803872409755335,3.36665272222388,0.270779351200089,2.29098286561551,3.35873375573287,0.96292690825,0.1855852495,5.4889981575,97.783460225,1.429711125,24.486868625,86.059078125,5.3963529275,0.5825889815,8.603809445,111.07889725,2.4950213275,33.490357775,99.442677425
2.74934560736517,0.663663221528,8.16821554303,99.2991243443,1.492150931289,28.8869950339,90.3462187411,1.30908390555393,0.101073535089619,0.980528452025188,3.47559563531194,0.26098996959746,2.30136521611132,3.28986098973291,0.3779515915,0.4675081645,6.5094966225,92.556441125,0.98515357425,24.7369927,84.001251625,5.5243203775,0.867568827,10.3542115,106.1994805,2.0071239925,33.70126355,96.858020325
3.3525904446877,0.584415135419,7.75510579095,105.6677013795,1.436340106173,26.1958847603,97.0496607322,1.34831272473555,0.118652430933089,1.02852292300429,3.23246850157175,0.24005253404207,2.00397595012469,3.06657080806049,0.953560496,0.363404782,6.05471639,99.223723,0.96192037675,22.597150575,91.052390325,6.211153775,0.83169357475,10.016982625,112.0404665,1.910821455,30.3815197,102.9868615
4.01987027610471,0.67653796904,7.76074287119,105.9634819145,1.844795793771,25.8974275902,94.8947071997,1.23970184389696,0.115412814836419,0.919924206873573,3.23083695385134,0.242476927060928,2.1933510681226,3.17037119057376,1.77299024,0.45386204175,6.2116139675,99.737203475,1.3736696775,21.951122675,88.778687725,6.6494521125,0.9126232365,9.8216300725,112.330354,2.3265383775,30.57735335,101.19140625
4.356085346235,0.6422388102521,7.72939525867,101.6636808193,1.524554011858,27.9985691195,92.5163567384,1.39897523110836,0.13295051939598,0.942750287806346,3.64869479349318,0.243026077730625,2.21983527871014,3.20481943808702,1.82090113,0.38577125425,6.161803045,94.291191275,1.0521957875,23.92462,86.249160425,7.2598613075,0.905757353,9.87939055,108.72885525,2.01116819,32.659716325,98.802213825
