"ests_ageAtOnsetInt","ests_ageAtOnsetParent","ests_sigma_ageAtOnset","ests_alpha_0Orig","ests_alpha_tOrig","ests_sdYResOrig","ests_fitted_mean","stderrs_ageAtOnsetInt","stderrs_ageAtOnsetParent","stderrs_sigma_ageAtOnset","stderrs_alpha_0Orig","stderrs_alpha_tOrig","stderrs_sdYResOrig","stderrs_fitted_mean","ciLower_ageAtOnsetInt","ciLower_ageAtOnsetParent","ciLower_sigma_ageAtOnset","ciLower_alpha_0Orig","ciLower_alpha_tOrig","ciLower_sdYResOrig","ciLower_fitted_mean","ciUpper_ageAtOnsetInt","ciUpper_ageAtOnsetParent","ciUpper_sigma_ageAtOnset","ciUpper_alpha_0Orig","ciUpper_alpha_tOrig","ciUpper_sdYResOrig","ciUpper_fitted_mean"
1.60413849423672,0.782541404933,6.62359623592,102.0111222444,1.43178734657,22.7343981253,93.4203981489,1.03506356434543,0.109627215037837,0.809016169331779,2.64185810018979,0.199502182245978,1.82758720725981,2.56300457015136,-0.31282406525,0.57232758575,5.25487426,96.83333185,1.047973375,19.4112685,88.42612905,3.7356867325,1.0032303375,8.4160984325,107.21248475,1.8251026775,26.676888575,98.464967875
2.79974959578705,0.695940871345,7.61476821335,97.3547601707,0.9656384306348,32.7944106592,91.5609295736,1.14750405995193,0.124233975638327,0.908431009251653,3.4970676878003,0.254536375740477,2.39865683135814,3.44983643275555,0.6743970135,0.467058907,6.0924270825,90.3866299,0.46806482425,28.476827075,84.69301585,5.1718980125,0.9541414615,9.6155642825,104.31279175,1.47310957,37.924911025,98.2720172
3.7800423179232,0.5200494277335,7.64067984136,107.3427663604,1.168207881588,25.8597165989,100.3335190823,1.46609903257868,0.123592758209193,1.05131862948879,3.3906547300446,0.256262146465155,2.03989282290716,2.90655044451137,1.1953110975,0.28873154025,5.923658995,100.7431675,0.6718039315,22.1124384,94.586520875,6.91983409,0.76921915025,10.03215785,114.03558825,1.677243075,30.1069035,106.08781225
3.3459350453576,0.80250234576,8.7760746665,103.8663964145,1.037498267545,24.2529599553,97.641406791,1.57213870813546,0.134081761789375,1.29940146304792,3.17035095503282,0.212150242805062,1.98782505632536,2.82648015792492,0.555919258,0.55880864125,6.6418371,97.4821618,0.6267129,20.61337655,92.196807775,6.76494768749999,1.086812875,11.683808075,110.0909535,1.453156115,28.380460275,103.21050675
2.62485135618236,0.586753429589,7.1169756194,103.7968005936,1.335838312025,30.2981844606,95.7817706574,1.14859701024964,0.113271716157613,0.906575635137845,3.46309260777659,0.290253646250622,2.31745426327024,3.34381862471428,0.5499564725,0.375297543,5.6034710425,97.0105434,0.77313225325,26.05775445,89.12076975,5.13802053,0.81664376925,9.1624162375,110.74443225,1.91875633,35.15439005,102.31497725
1.30776654305437,0.809081858342,7.4842898742,105.1055106217,1.419038202885,25.5473156632,96.591281377,1.05602240014581,0.122597890578304,0.826486413136805,2.84013499814389,0.209956170693779,1.95944549223489,2.95028094951203,-0.62263612325,0.57524673425,6.057086895,99.5000782,1.0139009025,22.055837375,90.7860197,3.523443915,1.06249322,9.293501165,110.62756975,1.829199725,29.63328765,102.410001
2.82412817984867,0.579974123211,7.65923722644,102.3710752945,1.170956979118,25.7080082681,95.3453334543,1.28290535765026,0.132897989731321,0.977901224769555,3.00743369764592,0.217378967755469,1.96076838745207,2.80482217217081,0.46614027225,0.33013400375,6.009468805,96.528486425,0.74835681025,22.1747186,89.868757425,5.5303250125,0.850815835749999,9.7956881825,108.3734955,1.6066048175,29.8411711,100.92502975
2.66592944237345,0.566490043476,7.04931007942,102.216046507,1.0400166269065,25.8139147684,95.9759467726,1.18590826543579,0.119762641049334,0.867310201501831,3.13904186234136,0.238756116005294,1.97273328075166,2.75558220120816,0.44622082775,0.337400247,5.5665685725,95.909429925,0.57531910175,22.21374145,90.524273325,5.1518449625,0.809265032,8.9285118475,108.325596,1.509590015,29.926157575,101.3759525
2.96430320396227,0.43427731217567,6.97739768299,101.1576087303,1.194378760543,28.3910303598,93.9913361559,1.15818869138431,0.110478523875252,0.86268483484565,3.28323006013218,0.257520326808963,2.18699489688825,3.0731940957604,0.84402040275,0.22587870675,5.5382497025,94.716690875,0.6909870685,24.484423525,87.95141695,5.3914108875,0.65458726125,8.9429488625,107.57154425,1.6937513525,32.922924275,99.963117325
2.68747426208073,0.680248503122,8.25115914318,95.8638316665,0.91567200043824,30.0494476357,90.3697996731,1.31176864726239,0.104836824034914,1.01853090383341,3.55066764346856,0.264594514654448,2.26720120926637,3.16006254798944,0.30977014925,0.4827250385,6.52879325,89.11418065,0.4092855125,25.97541685,84.0593216,5.432613565,0.9003647655,10.485642975,102.882039,1.4438255525,34.750820925,96.57607595
3.54395879080868,0.645057482938,8.22101256282,103.058027619,0.903223636032,24.6208988175,97.6386857899,1.4513897374348,0.133209675391248,1.146406718982,3.06863003854651,0.210618494672708,1.84252870205054,2.74287081714904,1.05716908,0.40448098525,6.34758394,97.053372825,0.49305957575,21.3166522,92.248828875,6.77627011,0.931699431,10.835487,108.96218,1.3298981575,28.5054046,102.98168
