"ests.1","ests.2","ests.3","ests.4","ests.5","ests.6","ests.7","stderrs.1","stderrs.2","stderrs.3","stderrs.4","stderrs.5","stderrs.6","stderrs.7","ciLower.1","ciLower.2","ciLower.3","ciLower.4","ciLower.5","ciLower.6","ciLower.7","ciUpper.1","ciUpper.2","ciUpper.3","ciUpper.4","ciUpper.5","ciUpper.6","ciUpper.7"
12.761993244235,0.722904650547,6.3647201264,105.3740249184,2.03687057627,22.8375994069,93.1528014246,4.29237262977089,0.0987840580765892,0.738286042683314,2.74128995187501,0.215620389856306,1.91592006211848,2.82699268664064,4.23889752,0.5350505615,5.0944612525,100.0138465,1.6206121325,19.4077452,87.554429725,21.1122913,0.92064099825,7.9683181175,110.7927245,2.4650683075,26.750127,98.722101525
15.5619300317265,0.681178444738,7.53936766122,101.9006568219,1.480927649382,31.6103836776,93.0150908938,5.15224838697992,0.120232122151453,0.885456220409701,3.41687514057315,0.258620676305282,2.38081613560799,3.51919054254475,5.242213725,0.456449198,6.02829662,95.3096468,0.98155054475,27.406046775,86.161075225,25.423903475,0.92472876225,9.4814862325,108.6843625,1.9996731925,36.672641575,99.846359575
25.38612305657,0.4629242939998,7.41335320557,111.2883947584,1.863199584648,25.1586296645,100.1091972425,5.25861771002968,0.113933643934691,0.970528516797082,3.36934940975355,0.266100385890716,2.18739743906413,3.15230679253842,15.343855675,0.24157554425,5.8068607925,104.71250575,1.3445456475,21.147789775,94.075977775,35.960275425,0.6887495555,9.5894610875,117.892237,2.40027804,29.778339875,106.41308775
14.112037574345,0.728162166359,8.35163773398,106.8273441257,1.560530934989,23.15889474,97.4641585487,5.10143063539275,0.119069948452791,1.14174034208222,3.10165243675802,0.222081908877511,2.02083247458112,3.01191984984079,3.770038415,0.51027433125,6.452320525,100.84168125,1.13424697,19.43616015,91.64377085,23.767111825,0.976169749,10.916366475,113.02278,2.003429975,27.306756925,103.413332
20.41052511841,0.556754351181,7.11029666777,106.6160336101,1.898268272033,29.1542928108,95.2264240066,4.63527601565669,0.108749818094466,0.899755634242625,3.48692520473317,0.291266750692174,2.38559967498168,3.51541423864126,11.332988125,0.34805996,5.6076744175,99.87595315,1.332268575,24.84574585,88.402453025,29.5574934,0.776609694,9.143370475,113.49610975,2.4791832675,34.175599525,102.21863475
10.7414523883168,0.760540014177,7.22812349397,107.2305030234,1.97769470607,25.1053845753,95.3643347987,4.62985154342123,0.11192739280024,0.774312539815399,2.86755674222623,0.222419176551192,1.96300800942336,3.185966758146,1.42243093,0.54853812075,5.89007345,101.61142625,1.549888165,21.607424275,89.02604735,19.6385536,0.984908622,8.9148726175,112.9259085,2.42074261,29.248194375,101.63247475
20.19261415394,0.562262492312,7.38779821748,105.9683517336,1.85249801703,23.9914666028,94.853363667,5.35098082557436,0.120419150056427,0.89769985008596,2.89796787362459,0.217995816700441,2.00935231614897,2.94737416100365,9.419544805,0.3324824555,5.85654815,100.27516275,1.4294583175,20.371978225,89.10731315,30.486379775,0.80351442625,9.3873613975,111.67356425,2.29226996,28.28524295,100.635017
21.07983927932,0.543151392277,7.04674331577,106.0199757517,1.715878713646,24.9936652496,95.7247033966,4.93254216414486,0.113929364173103,0.885476006941552,3.15517907385005,0.244997679435538,2.09528576810295,3.01764673393956,11.1460762,0.3276759615,5.56670499,99.6529809,1.2508723375,21.213015225,89.720210075,30.6104044,0.7776610995,8.9883920325,112.06844675,2.209892785,29.3428947,101.61696
27.61460336598,0.38569785543349,6.82357684363,104.4959979725,1.957179685306,28.6251543117,92.75291986,4.56725440103553,0.102733976528031,0.810248859703232,3.37844574957942,0.275638969969885,2.31762102344622,3.35131475326047,18.79327425,0.187406975,5.470595785,97.821394675,1.422665455,24.4502377,86.2026581,36.6525876,0.5894425695,8.652139015,111.23206125,2.500845055,33.573599025,99.3757879
16.140943780743,0.665520800242,8.1905707152,99.3243633204,1.491795533423,28.8840018098,90.373590149,4.49133720040064,0.1029903785492,1.0121568415015,3.51837149933928,0.263571707657864,2.3153323585783,3.30406357446717,7.29651883,0.47424068175,6.52145859,92.48035465,0.990256223,24.768362975,83.89379175,24.7007129,0.87531110775,10.4143065,106.311074,2.023958845,33.724296325,96.99184745
