"ests.1","ests.2","ests.3","ests.4","ests.5","ests.6","ests.7","ests.8","ests.9","ests.10","ests.11","ests.12","ests.13","ests.14","ests.15","ests.16","stderrs.1","stderrs.2","stderrs.3","stderrs.4","stderrs.5","stderrs.6","stderrs.7","stderrs.8","stderrs.9","stderrs.10","stderrs.11","stderrs.12","stderrs.13","stderrs.14","stderrs.15","stderrs.16","ciLower.1","ciLower.2","ciLower.3","ciLower.4","ciLower.5","ciLower.6","ciLower.7","ciLower.8","ciLower.9","ciLower.10","ciLower.11","ciLower.12","ciLower.13","ciLower.14","ciLower.15","ciLower.16","ciUpper.1","ciUpper.2","ciUpper.3","ciUpper.4","ciUpper.5","ciUpper.6","ciUpper.7","ciUpper.8","ciUpper.9","ciUpper.10","ciUpper.11","ciUpper.12","ciUpper.13","ciUpper.14","ciUpper.15","ciUpper.16"
43.377366169,5.7396331704,6.9272965828,0.23034145583586,16.4111026289,8.6100394693418,2.14246119896587,0.0142925998952821,-0.016877483437149,0.168544827024962,0.11630048913752,1.5764406353,0.075491686161,0.9419497087,0.4269483149,0.48553078138,1.0504418198182,0.193566959359216,0.726606072795522,0.105270141169828,3.85213991645996,3.69293149499769,3.33263389659559,0.029831517623747,0.091879172807167,0.26217427137294,0.502939781628094,0.0866892426804406,0.0111262527444276,0.033655110257467,0.112310945766316,0.0150802447165344,41.24908695,5.38007186,5.665910715,0.024408823625,9.01123159,1.4352074375,-4.2319197125,-0.04484104485,-0.1928672495,-0.33291999525,-0.87992266175,1.415830275,0.055648614875,0.8661860605,0.19811532,0.458534864,45.476311075,6.122207005,8.5115810975,0.43012047875,24.352283625,15.612253125,8.6747954475,0.06876115365,0.1652680195,0.6824356475,1.042691465,1.756174075,0.09741927205,0.9980367425,0.656599151,0.51799771775
44.986306851,5.8242568803,7.8244198938,0.3269187265957,15.929296658,6.94419258615,-0.68453410371093,0.000386561145491,0.052389525699529,-0.053851468610048,-0.06850035588737,1.396700425,0.070136902751,0.93825017168,0.64295311333,0.46294662655,1.16655222652438,0.213863403329137,0.82110736069935,0.12259019823201,3.81456261562804,3.05312537342257,2.91322180718204,0.0237244063500904,0.079498556131259,0.229179630232676,0.411739002691518,0.0829971698578863,0.00942763551776159,0.0312706422340259,0.0951241543509919,0.0133314840427397,42.8070013,5.4052084825,6.30322992,0.076104794375,8.256727175,1.305582,-6.6295687775,-0.048356330525,-0.112611919,-0.521540148,-0.88539957525,1.2518592125,0.051368238225,0.86753740025,0.46662977775,0.43716560825,47.43744455,6.2719501075,9.5922407475,0.558978376,22.87288795,13.25274145,5.166324845,0.049221987225,0.216227469,0.40642852125,0.7356928445,1.57867127,0.088794468475,0.99236983225,0.83081459225,0.48816950625
46.343856882,5.9979860515,7.1340362296,0.3298485514355,12.199040543403,2.2322547539912,-1.2885760109904,0.008988590637962,0.04607419693122,-0.10137071361062,0.113433663203538,1.3388389963,0.066003358515,0.9149153289,0.43361679541,0.49364853203,1.0587078197795,0.221187775792779,0.788581651022639,0.113222148839237,3.85909689278286,3.58570045955002,3.01503495531837,0.0243310820004727,0.0823280667131217,0.237189147516465,0.428705372223455,0.0809888986027508,0.00921226749518374,0.0368885320312122,0.0993874628149245,0.0151034704302792,44.236203325,5.5488783825,5.77440611,0.10723815175,4.3060350225,-5.0072270975,-7.042958135,-0.03837569085,-0.115113666,-0.5540609915,-0.74167728725,1.19300569,0.04778654875,0.82811546625,0.2608710495,0.4627796155,48.501584925,6.410255745,8.8705491025,0.5512675125,19.88138385,9.562636605,4.3394988525,0.054334881925,0.20780636225,0.3413831205,0.893347681,1.5056903525,0.0834759043,0.9703598045,0.64090855725,0.526083256
45.019500554,5.6666273971,6.3880278215,0.16706488888543,16.8726897245,6.80377781573,2.3829066724884,0.02543994642644,-0.032211488658865,0.18746038113233,0.1995414064882,1.2504010332,0.038326106048,0.95206502015,0.46174931456,0.50280952723,0.968118775733429,0.185905004447041,0.677059967095347,0.0944141424199451,3.26348748701067,2.82792341207559,2.47696648052397,0.0190190653641086,0.0662297575082843,0.19485995227884,0.342627346677578,0.0651459971367314,0.00638177825906612,0.0439476866366802,0.0960365409923436,0.012813993182986,43.198192075,5.32407832,5.2062269275,-0.018002574825,10.68137315,1.5009055825,-2.330042855,-0.011578039425,-0.164342037,-0.183301653,-0.453524259,1.13373359,0.026992531875,0.842234279,0.27427309475,0.47735218325,47.06329845,6.0372894125,7.998020115,0.3554978155,23.4285143,12.5556027,7.532487135,0.063150095775,0.099856809925,0.592571644,0.88673766225,1.38961368,0.0524698877,0.99842546625,0.65358729725,0.52692462625
46.599751959,5.5220276694,6.9511738498,0.2132618664024,14.07831486508,9.93683969193,3.2451297159956,0.010686171929769,-0.04061314001954,0.25529042339233,0.14817236898696,1.3220239236,0.047035528935,0.85445128946,0.56144070975,0.51238171206,0.993694835989113,0.203332348337638,0.720961838681419,0.126457131586838,4.27707481474863,3.66284717795263,3.08003276254784,0.0225614643810543,0.0797052525051465,0.242302446248717,0.402345186856141,0.081018258107087,0.0093248817308857,0.0645507463924781,0.0954051801096158,0.0148598726422948,44.67237685,5.1519103225,5.6893726175,-0.037139417825,6.166908265,3.1437390325,-2.8105382625,-0.03294382485,-0.2129470525,-0.2211016335,-0.63940172425,1.1683535425,0.0302356636,0.704731426,0.3867406895,0.484488025,48.6722887,5.93904467,8.6183298475,0.475341552,22.55634515,17.45574665,9.911970405,0.0560198389,0.115980475,0.7797626975,0.95540241375,1.4866372775,0.066958641375,0.9663671465,0.7531332855,0.5424132885
46.229063005,5.6015715345,7.7721525748,0.1198083993529,12.7667313026,9.554072694361,0.084847338058,-0.0134907516026275,0.043991768010317,0.00667483736841,-0.3564110754198,1.4001275839,0.052404613335,0.96621337925,0.50492877929,0.50012902626,1.1742427990671,0.198851853279045,0.850820894827188,0.112865753048433,3.80267742708467,3.29155768493256,2.5923300081617,0.0167579110007037,0.0671946568633288,0.203935461324826,0.312555562943328,0.0828233919939066,0.00747525954762223,0.0247851683003386,0.085120732494707,0.0139579650927892,44.08946045,5.222185515,6.2609710325,-0.110375431,4.7415586975,3.0364028925,-4.863901875,-0.047689084375,-0.0799059188,-0.38263727075,-0.941982248,1.2504039975,0.03919636795,0.905235447,0.35149253425,0.47432527675,48.619874925,6.00596958,9.66334505,0.3330758565,19.71107535,15.810790625,5.1037444675,0.0176267991,0.17644892925,0.40150539025,0.20989406375,1.56621122,0.06773858155,0.997628444,0.6847903915,0.52820444775
45.722044249,5.6747050218,5.9909814509,0.2837073748989,6.179503920596,8.850920520628,-4.2703078024581,-0.0572052967179,0.1597334601107,-0.33593994162146,-0.78494486796283,1.3048235715,0.042448698178,0.89303109814,0.493827309756,0.46232924337,0.862427425671801,0.197803717118812,0.669135686849153,0.113389253457872,3.8974786310099,3.51478622463489,2.81202925730237,0.0219929269236323,0.0752150804552612,0.221218934960277,0.384307471899727,0.0797366940014808,0.00920441936745183,0.0673256975072829,0.125595992369089,0.0135908247009609,44.088413475,5.317169165,4.7470435125,0.066202226775,-1.231322685,1.9502147375,-9.43352316,-0.09942270485,0.0036723394,-0.742123842,-1.466031925,1.15289982,0.026933511375,0.72708692475,0.25043849675,0.43656447225,47.3741173,6.070567905,7.493228855,0.50206211775,13.780928375,15.74965,1.4572240375,-0.01139673575,0.29954573575,0.1146380535,0.0356260070749999,1.4654890075,0.062363775725,0.99200308175,0.7492632395,0.4912278765
46.818368253,5.3925379879,7.4108609608,0.447152425974,21.6833905697,14.06490045897,3.93619983663445,0.014489640613263,-0.03950909153459,0.309656072554911,0.28021626563326,1.11272838776,0.052363177204,0.83598228934,0.47814289226,0.49543082545,1.12451040729572,0.228391922306783,0.772795973629496,0.126696686093941,4.75901853478152,3.97097822962005,3.1524719860578,0.0221817636667281,0.0814533297345963,0.248001151760026,0.401614311952868,0.0883036223108073,0.0121285253604144,0.0675814086556141,0.106928843604293,0.0163474448908481,44.817736,4.974145685,6.10905832,0.200102001,12.606603425,6.4762756,-2.264055655,-0.029040861425,-0.191968688,-0.17811051225,-0.53984737825,0.953529577,0.028774621225,0.687208006,0.27934819075,0.46612246375,49.14727075,5.862973285,9.1702744225,0.695837282,30.778174875,21.711703025,9.751400415,0.057396908625,0.12114024275,0.7671308585,1.0720148575,1.3135842875,0.075312738675,0.95237509825,0.70302742175,0.530337951
48.038225131,5.478896156,5.3727327909,0.118776217621517,8.7668236686723,9.874937631717,6.1213961389332,0.019329716881844,-0.119603336603,0.48156281799454,0.4031650303533,1.2842703043,0.041780465368,0.89725120723,0.58924042728,0.51078735198,0.87621904904844,0.210289465047225,0.621727526003958,0.134033830433626,4.89212817890655,4.25153423959537,3.10243754823245,0.0224308780224679,0.0808982336338599,0.244065002643474,0.409105710823429,0.0949283752091664,0.0098934700587492,0.0718157055397021,0.0972111685401206,0.0151554016973835,46.3378746,5.08400847,4.28549024,-0.129849806,-0.87127594575,1.06816457025,0.20263647475,-0.024104634325,-0.278659591,0.0159411656,-0.39888751625,1.1133158025,0.02383710435,0.73093404425,0.41679584425,0.483616736,49.749784425,5.9355684225,6.6246613775,0.386910749,18.33060865,18.508554925,12.188040725,0.0625026296,0.042443803025,0.9588184315,1.2264434425,1.4895758575,0.061807702775,0.9971724115,0.79459049525,0.54187222075
44.699524507,5.7903031806,6.0617376372,0.2770210184992,12.2349302437,7.6815218833033,4.1113096242696,0.02302672796802,-0.07524304093992,0.32343174763028,0.4523624337126,1.3540729658,0.045652009337,0.94520950645,0.6146431067,0.49404171846,0.971803460284566,0.221470382900402,0.677714430765547,0.128546256290977,3.82153566222608,3.4059620510761,2.70065913065255,0.0208008092433758,0.0716492460058388,0.212457582104455,0.379212685976022,0.0793596837772243,0.00807281724787326,0.0470592697387769,0.120228328592169,0.0156648117857722,42.7170547,5.39004496,4.8132612575,0.02242616985,4.86670967,0.62891969625,-1.2399077825,-0.01659361065,-0.216009855,-0.097542039775,-0.2741374575,1.196408215,0.03041594315,0.819215815,0.4159638095,0.463681756,46.52855495,6.2303880325,7.4964865425,0.52581934325,19.84369015,14.378370875,9.7855252575,0.0640790686,0.06673037895,0.76981542025,1.17524877,1.5084820375,0.062177671225,0.99829700125,0.88685956925,0.52663960975
