"ests.1","ests.2","ests.3","ests.4","ests.5","ests.6","ests.7","ests.8","ests.9","ests.10","stderrs.1","stderrs.2","stderrs.3","stderrs.4","stderrs.5","stderrs.6","stderrs.7","stderrs.8","stderrs.9","stderrs.10","ciLower.1","ciLower.2","ciLower.3","ciLower.4","ciLower.5","ciLower.6","ciLower.7","ciLower.8","ciLower.9","ciLower.10","ciUpper.1","ciUpper.2","ciUpper.3","ciUpper.4","ciUpper.5","ciUpper.6","ciUpper.7","ciUpper.8","ciUpper.9","ciUpper.10"
43.157386591,5.7485637627,6.8704906126,-0.09631260572748,0.105752348317,1.5588144724,0.070105491824,0.90900950223,0.408233240587,0.48453460951,1.08310092951426,0.192889417916997,0.764108344770916,0.131061996847617,0.00971537795714647,0.0833178684468207,0.011506737102524,0.0577823215648152,0.13019486850928,0.0143217827227688,41.000718175,5.36997892,5.60227903,-0.3674472015,0.0850034907,1.4027617075,0.04861450075,0.78898730425,0.16155495925,0.458024284,45.222539075,6.13249411,8.6208183675,0.1618893365,0.12376716825,1.737953235,0.093102625475,0.99534889925,0.6541999545,0.51274784875
45.086655292,5.7978590163,7.8955432833,0.0548413763073334,0.108383248117,1.4036886315,0.062070332618,0.9611772287,0.60731647713,0.46294401511,1.11258072799284,0.195100895635422,0.8307738480084,0.142073132092783,0.00833251011904004,0.0814258284525892,0.00717041495912046,0.0303776791890954,0.101836755000067,0.0138789252919355,42.809905175,5.41903559,6.4800768125,-0.20790894125,0.092222169875,1.24760529,0.0494434229,0.88634179525,0.426265113,0.4352954205,47.129083175,6.1682290125,9.691449385,0.3252162955,0.123937114,1.5643200475,0.077143583575,0.998356498,0.818029229,0.4903931015
46.620146231,5.9490618229,7.1145570417,0.12380172528412,0.102314223281,1.3293649261,0.063001157128,0.88740915944,0.357222734798,0.49474852442,1.1324757890188,0.21275778253222,0.779884646777593,0.123437721228791,0.00807033580474704,0.0871393410486904,0.00958735992135638,0.0480396098570497,0.127986781035953,0.0147630683557627,44.475587425,5.54583037,5.7620601075,-0.12156605825,0.08633096235,1.1744188475,0.045170186775,0.77545344975,0.117957262,0.46732668175,48.9257726,6.39502694,8.848306105,0.3563713695,0.1186138925,1.5145323525,0.081268435625,0.9619756545,0.60529811,0.523115324
45.199039,5.6357781981,6.4052021929,-0.1090395949636,0.099136969281,1.257631357,0.03998149273,0.94916761005,0.407872782572,0.50333774546,0.915566600600285,0.181446254434553,0.697669873297145,0.112125861861628,0.00684937250503986,0.067447375611382,0.00713845532008268,0.0419485781018507,0.0937107303213493,0.013236913475899,43.420964075,5.2888580275,5.2156632025,-0.33175284675,0.08637493715,1.12569505,0.0256634397,0.8404311585,0.2360362275,0.47960077725,47.092468175,6.0027512,7.9565589875,0.12758153575,0.11279174725,1.38827032,0.05480154225,0.9977841025,0.5969068235,0.5309020755
46.536270174,5.5432858064,6.8604153094,-0.05529176724137,0.094699397748,1.3078095486,0.051940006305,0.82640849692,0.55950746963,0.51159252116,1.01044679913712,0.193869107455201,0.749342963159415,0.148276481906097,0.00957714675205901,0.0872784845472852,0.0103570004401819,0.0784783817860432,0.111433712358352,0.0153599256788083,44.407505875,5.1859801325,5.515192185,-0.38257209725,0.076018947625,1.149260675,0.034373066675,0.65445784575,0.3609199815,0.48426563225,48.3403395,5.9180568025,8.3940317925,0.22379873975,0.1128398415,1.4700000425,0.075353182675,0.95709154325,0.80122214275,0.5413335935
45.969316383,5.641914228,7.6089228029,-0.15432513728099,0.093054198416,1.377308478,0.057045153667,0.90386737993,0.54018369404,0.50090057144,1.12623910812617,0.202331715696614,0.80004914875959,0.136976388166407,0.00834504219196559,0.0842820296936729,0.00812323745105001,0.0474243066750676,0.118726534451336,0.0140284865678615,43.806823075,5.2750680325,6.21636333,-0.4325826835,0.07784561525,1.2212334325,0.041498889125,0.79542373825,0.318581554,0.47443559925,48.17904525,6.0652574325,9.4117220225,0.128978401,0.11109242975,1.540727545,0.0749327608,0.9820068845,0.8082242265,0.5304756635
45.902064468,5.6951411408,5.9174943023,-0.07439670098137,0.08014770404,1.2647362443,0.044412114652,0.72431496099,0.51263065471,0.46476778902,0.892102437678191,0.202229357610581,0.68688558802013,0.122098351431138,0.00867183186196487,0.081113971310721,0.0129492810305117,0.117046941728268,0.113686242469411,0.0133656263897338,44.299991375,5.30858895,4.75366587,-0.3115695315,0.062482472175,1.119183815,0.01829097655,0.46704821375,0.2897274065,0.4377595095,47.663105125,6.089143945,7.3303690125,0.16121316,0.098042351075,1.4289733925,0.06885005075,0.95383891275,0.74138825925,0.48984860725
47.030407511,5.3875583315,7.3258340791,0.1040306252698,0.112400531521,1.14850238344,0.046056892469,0.8246337882,0.53210120713,0.49799327355,1.07472184558999,0.218865307642798,0.720538124179357,0.149938483509819,0.00922213597944199,0.0987234806533692,0.0127540692164138,0.093298075829608,0.118152345180123,0.0171979747757302,44.841657225,4.97143891,6.0763785775,-0.1939985095,0.093840407775,0.968020739,0.02560781825,0.623634761,0.319272002,0.465024879,49.0926238,5.82747809,8.8968980225,0.40202938,0.129658707,1.35212324,0.074948856275,0.97606626925,0.77997312375,0.53444749325
47.961037633,5.5080279861,5.360818365,-0.19053600013315,0.086949490204,1.350979854,0.04618734914,0.87658162108,0.64223632506,0.51008247988,0.841493497065987,0.195840129397697,0.625287047556247,0.162758411819337,0.00982333897732822,0.106190596255857,0.0119571777559027,0.0843858078745441,0.122407604606874,0.0150626596441227,46.32829385,5.1641493175,4.3087686325,-0.522044078,0.06649249205,1.145994385,0.022497116475,0.671402394,0.43478921125,0.4818936445,49.58360375,5.9061847575,6.789216,0.11972377625,0.1057694745,1.569675035,0.069368609025,0.98189973525,0.921257935,0.540373626
44.566108648,5.7533370577,6.1943730304,0.034391192263925,0.095907682053,1.344425545,0.039853485573,0.92718167094,0.61490538995,0.49421440608,0.888328485862964,0.209618451553369,0.642962226086998,0.139112601974841,0.00863986812318827,0.0802159672942711,0.00799700481641239,0.0690950961611734,0.127469170993191,0.0142079207982683,42.775655275,5.36768927,5.0332815725,-0.2424709995,0.07848806675,1.1956287825,0.02578139825,0.75882988225,0.4021735095,0.46888518025,46.1896383,6.1865920875,7.57380645,0.2940034,0.11148310875,1.50228077,0.0564940129,0.9979253975,0.8723579095,0.52255078375
